Unique ID,Business Name,Type (Chain/Independent),Probability of Muslim Ownership,Category,Street,City,Zip Code,State/Region,Country,Phone Number,Website URL,Google Maps Link,Latitude,Longitude,Opening Hours,Facebook,Instagram,TikTok,Data Source
UK-LON-001,Starmeat ( Grocery-halal Butcher - Super Market),Independent,100%,Halal Groceries & Butchers,117 Lupus St,London,SW1V 3EN,,UK,+44 20 7821 0328,,https://www.google.com/maps/place/Starmeat+%28+Grocery-Halal+Butcher+-+Super+Market%29/data=!4m7!3m6!1s0x487605d30e03fe83:0x3dbf9895d866ad20!8m2!3d51.4875942!4d-0.141963!16s%2Fg%2F11j27v6xkg!19sChIJg_4DDtMFdkgRIK1m2JWYvz0,51.482415,-0.1743473,Mon: 8 AM-8 PM?,,,,Google Maps
UK-LON-002,Marhabamarket Halal Meat,Independent,100%,Halal Groceries & Butchers,,London,,,UK,+44 7541 975022,,https://www.google.com/maps/place/Marhabamarket+halal+meat/data=!4m7!3m6!1s0x487605d32ddf189d:0x692be69ef16df2ca!8m2!3d51.4643224!4d-0.1621267!16s%2Fg%2F11kj_c2_jl!19sChIJnRjfLdMFdkgRyvJt8Z7mK2k,51.4823572,-0.1743474,,,,,Google Maps
UK-LON-003,Ali Halal Grocers London,Independent,100%,Halal Groceries & Butchers,54 St Paul's Way,London,E3 4AL,,UK,+44 20 7093 2983,,https://www.google.com/maps/place/Marhabamarket+halal+meat/data=!4m7!3m6!1s0x487605d32ddf189d:0x692be69ef16df2ca!8m2!3d51.4643224!4d-0.1621267!16s%2Fg%2F11kj_c2_jl!19sChIJnRjfLdMFdkgRyvJt8Z7mK2k,51.4643224,-0.3063223,Mon: 9 AM-8 PM? | Tue: 9 AM-8 PM? | Wed: 9 AM-8 PM? | Thu: 9 AM-8 PM? | Fri: 9 AM-8 PM? | Sat: 9 AM-8 PM? | Sun: 9 AM-8 PM?,,,,Google Maps
UK-BIR-001,Al Halal Supermarket,Independent,100%,Halal Groceries & Butchers,360 Coventry Rd,Birmingham,B10 0XE,,UK,+44 121 753 4391,,https://www.google.com/maps/place/Al+Halal+Supermarket/data=!4m7!3m6!1s0x4870bb9d007f6c19:0xde9f7e5d8d8a1683!8m2!3d52.4719027!4d-1.8633362!16s%2Fg%2F1hc9fw54f!19sChIJGWx_AJ27cEgRgxaKjV1-n94,52.4665868,-1.8864247,Mon: 8 AM-8 PM? | Tue: 8 AM-8 PM? | Wed: 8 AM-8 PM? | Thu: 8 AM-8 PM? | Fri: 8 AM-8 PM? | Sat: 8 AM-8 PM? | Sun: 11 AM-7 PM?,,,,Google Maps
UK-BIR-002,Green Halal Supermarket,Independent,100%,Halal Groceries & Butchers,2nd Floor,Birmingham,B8 2XJ,Saltley,UK,+44 121 326 3080,,https://www.google.com/maps/place/Green+Halal+Supermarket/data=!4m7!3m6!1s0x4870bb3d86add825:0x2b4f801d6bef0c24!8m2!3d52.495653!4d-1.846047!16s%2Fg%2F11b7q8hfc7!19sChIJJdithj27cEgRJAzvax2ATys,52.4719027,-2.0075318,Mon: 8:30 AM-8:30 PM? | Tue: 8:30 AM-8:30 PM? | Wed: 8:30 AM-8:30 PM? | Thu: 8:30 AM-8:30 PM? | Fri: 8:30 AM-8:30 PM? | Sat: 8:30 AM-8:30 PM? | Sun: 11 AM-5 PM?,,,,Google Maps
UK-BIR-003,Safa Halal Supermarket,Independent,100%,Halal Groceries & Butchers,313-317 Birchfield Rd,Birmingham,B20 3BX,,UK,+44 121 356 7863,,https://www.google.com/maps/place/Safa+Halal+Supermarket/data=!4m7!3m6!1s0x4870bcb37f69c1f3:0xa86efc420d4e5bda!8m2!3d52.5144615!4d-1.901372!16s%2Fg%2F1x5qs6nz!19sChIJ88Fpf7O8cEgR2ltODUL8bqg,52.4719027,-2.0075318,Mon: 8 AM-8 PM? | Tue: 8 AM-8 PM? | Wed: 8 AM-8 PM? | Thu: 8 AM-8 PM? | Fri: 8 AM-8 PM? | Sat: 8 AM-8 PM? | Sun: 8 AM-7 PM?,,,,Google Maps
UK-BIR-004,Buy Fresh Halal Meat,Independent,100%,Halal Groceries & Butchers,235 Lakey Ln,Birmingham,B28 8QT,,UK,+44 121 439 8320,https://buyfreshonline.co.uk,https://www.google.com/maps/place/Buy+Fresh+Halal+Meat/data=!4m7!3m6!1s0x4870b9f85ee27f13:0xd9fc3cc837b07f2c!8m2!3d52.4294027!4d-1.8266154!16s%2Fg%2F11lk9ww7lx!19sChIJE3_iXvi5cEgRLH-wN8g8_Nk,52.4719027,-2.0075318,Open · Closes 6:30 PM,,,,Google Maps
UK-BIR-005,Sunrise Halal Supermarket,Independent,100%,Halal Groceries & Butchers,Unit 1 Cape Hill Retail Centre Smethwick,Birmingham,B66 4PH,,UK,+44 121 558 6786,,https://www.google.com/maps/place/Sunrise+Halal+Supermarket/data=!4m7!3m6!1s0x4870bd132847206d:0x7919e49b2b0c4b49!8m2!3d52.486242!4d-1.9573963!16s%2Fg%2F1tcw3146!19sChIJbSBHKBO9cEgRSUsMK5vkGXk,52.486242,-2.1015919,Open · Closes 8:30 PM,,,,Google Maps
UK-MAN-001,Noor Supermarket Halal,Independent,100%,Halal Groceries & Butchers,956 Stockport Rd,Manchester,M19 3NN,,UK,+44 161 257 0789,,https://www.google.com/maps/place/Noor+Supermarket+Halal/data=!4m7!3m6!1s0x487bb35287dc3329:0xfe540edb425918d!8m2!3d53.4436971!4d-2.191787!16s%2Fg%2F11hqpddj4h!19sChIJKTPch1Kze0gRjZEltO1A5Q8,53.4702672,-2.2134255,Mon: 7:30 AM-9 PM? | Tue: 7:30 AM-9 PM? | Wed: 7:30 AM-9 PM? | Thu: 7:30 AM-9 PM? | Fri: 7:30 AM-9 PM? | Sat: 7:30 AM-9 PM? | Sun: 7:30 AM-9 PM?,,,,Google Maps
UK-MAN-002,Worldwide Al Halal Supermarket,Independent,100%,Halal Groceries & Butchers,,Manchester,,,UK,+44 161 256 2985,,https://www.google.com/maps/place/Worldwide+Al+Halal+Supermarket/data=!4m7!3m6!1s0x487bb3d75fd2071b:0x4d1aa4ddcb04d3ee!8m2!3d53.4541822!4d-2.1980393!16s%2Fg%2F1tdzqpg3!19sChIJGwfSX9eze0gR7tMEy92kGk0,53.4541822,-2.3422349,,,,,Google Maps
UK-MAN-003,Palmyra Halal Meat & Groceries,Independent,100%,Halal Groceries & Butchers,345 Kingsway,Manchester,M19 1NQ,,UK,+44 161 432 7062,https://www.facebook.com/Palmyra.Manchester,https://www.google.com/maps/place/Palmyra+Halal+Meat+%26+Groceries/data=!4m7!3m6!1s0x487bb24d1d446105:0xcd44463f6fbc0110!8m2!3d53.4268686!4d-2.2101957!16s%2Fg%2F11c575d70f!19sChIJBWFEHU2ye0gREAG8bz9GRM0,53.4268686,-2.3543913,Mon: 9:30 AM-7 PM? | Tue: 9:30 AM-7 PM? | Wed: 9:30 AM-7 PM? | Thu: 9:30 AM-7 PM? | Fri: 9:30 AM-7 PM? | Sat: 9:30 AM-7 PM? | Sun: 10 AM-6 PM?,https://www.facebook.com/Palmyra.Manchester,,,Google Maps
UK-MAN-004,Nadeem Superstore,Independent,,Halal Groceries & Butchers,2A Farm Side Pl,Manchester,M19 3AD,,UK,+44 161 224 4770,,https://www.google.com/maps/place/Nadeem+Superstore/data=!4m7!3m6!1s0x487bb3df4345f609:0xf9bb76390c534857!8m2!3d53.4450521!4d-2.1919374!16s%2Fg%2F11h3_g5t9d!19sChIJCfZFQ9-ze0gRV0hTDDl2u_k,53.4450521,-2.336133,Mon: 9 AM-9 PM? | Tue: 9 AM-9 PM? | Wed: 9 AM-9 PM? | Thu: 9 AM-9 PM? | Fri: 9 AM-9 PM? | Sat: 9 AM-9 PM? | Sun: 9 AM-9 PM?,,,,Google Maps
UK-MAN-005,"Pure Fresh Halal Meat,poultry & Pound Plus",Independent,100%,Halal Groceries & Butchers,,Manchester,,,UK,+44 7869 802037,,"https://www.google.com/maps/place/Pure+Fresh+Halal+Meat,Poultry+%26+Pound+Plus/data=!4m7!3m6!1s0x487bb14c61bcf5bd:0x5fd84d6647bf549b!8m2!3d53.4727502!4d-2.1631634!16s%2Fg%2F1hc2bzrjt!19sChIJvfW8YUyxe0gRm1S_R2ZN2F8",53.4268686,-2.3543913,,,,,Google Maps
UK-MAN-006,Fresh Halal Meat,Independent,100%,Halal Groceries & Butchers,205 Burnage Ln,Manchester,M19 1FE,,UK,+44 161 971 3726,https://www.facebook.com/freshhalalmeat,https://www.google.com/maps/place/Nassar+Halal+Meat/data=!4m7!3m6!1s0x487bb240bd444bc3:0x6ccc828d61e7fce!8m2!3d53.4339293!4d-2.2296278!16s%2Fg%2F11b_3clf5r!19sChIJw0tEvUCye0gRzn8e1ijIzAY,53.4268686,-2.3543913,Mon: 9 AM-6 PM? | Tue: 9 AM-6 PM? | Wed: 9 AM-6 PM? | Thu: 9 AM-6 PM? | Fri: 9 AM-6 PM? | Sat: 9 AM-6 PM? | Sun: 9 AM-5:30 PM?,https://www.facebook.com/freshhalalmeat,,,Google Maps
UK-MAN-007,Sharif Halal Meat,Independent,100%,Halal Groceries & Butchers,1084 Stockport Rd,Manchester,M19 2SU,,UK,+44 7424 244038,,https://www.google.com/maps/place/ADAM+grocery+store+halal/data=!4m7!3m6!1s0x487bb1007c73994b:0x6129f963af7f3247!8m2!3d53.4591402!4d-2.1867427!16s%2Fg%2F11vxkcbg6s!19sChIJS5lzfACxe0gRRzJ_r2P5KWE,53.4268686,-2.3543913,Mon: 9 AM-7 PM? | Tue: 9 AM-7 PM? | Wed: 9 AM-7 PM? | Thu: 9 AM-7 PM? | Fri: 9 AM-7 PM? | Sat: 9 AM-7 PM? | Sun: 9 AM-7 PM?,,,,Google Maps
UK-BRA-001,Al Halal Supermarket,Independent,100%,Halal Groceries & Butchers,146 Woodhead Rd,Bradford,BD7 1PD,,UK,+44 1274 747575,http://desime.co.uk,https://www.google.com/maps/place/Al+Halal+Supermarket/data=!4m7!3m6!1s0x487be6b811e89e6b:0xbb534cff8b5b2e29!8m2!3d53.7905019!4d-1.7738073!16s%2Fg%2F1thvs7nq!19sChIJa57oEbjme0gRKS5bi_9MU7s,53.7905019,-38.6878698,Mon: 9 AM-9 PM? | Tue: 9 AM-9 PM? | Wed: 9 AM-9 PM? | Thu: 9 AM-9 PM? | Fri: 9 AM-9 PM? | Sat: 9 AM-9 PM? | Sun: 12-6 PM?,,,,Google Maps
UK-BRA-002,Al Halal Worldwide Foods,Independent,100%,Halal Groceries & Butchers,1001 Leeds Rd,Bradford,BD3 7NH,,UK,+44 1274 656638,http://www.worldwidefoods.co.uk,https://www.google.com/maps/place/Al+Halal+Worldwide+Foods/data=!4m7!3m6!1s0x487be1c5106cdfd3:0x59e8609cbde75006!8m2!3d53.8001868!4d-1.7099589!16s%2Fg%2F11p655csy0!19sChIJ099sEMXhe0gRBlDnvZxg6Fk,53.8001868,-38.6240214,Mon: Open 24 hours? | Tue: Open 24 hours? | Wed: Open 24 hours? | Thu: Open 24 hours? | Fri: Open 24 hours? | Sat: Open 24 hours? | Sun: 12-6 PM?,,,,Google Maps
UK-BRA-003,Al Halal Worldwide Great Horton,Independent,100%,Halal Groceries & Butchers,607 Great Horton Rd,Bradford,BD7 4ED,,UK,+44 1274 572661,http://desime.co.uk,https://www.google.com/maps/place/Al+Halal+Worldwide+Great+Horton/data=!4m7!3m6!1s0x487be6e873bf5e69:0xdf80f12ff7c2297b!8m2!3d53.7780069!4d-1.7891498!16s%2Fg%2F1yh9tvd02!19sChIJaV6_c-jme0gReynC9y_xgN8,53.7905019,-38.6878698,Mon: 9 AM-8 PM? | Tue: 9 AM-8 PM? | Wed: 9 AM-8 PM? | Thu: 9 AM-8 PM? | Fri: 9 AM-8 PM? | Sat: 9 AM-8 PM? | Sun: 12-6 PM?,,,,Google Maps
UK-BRA-004,Halalco,Independent,100%,Halal Groceries & Butchers,Unit 3,Bradford,BD9 4JR,Keighley Rd,UK,+44 1274 010703,,https://www.google.com/maps/place/HalalCo/data=!4m7!3m6!1s0x487be5f7f677a991:0x628e09e2ea39cb3c!8m2!3d53.816013!4d-1.7736338!16s%2Fg%2F11t_tdz4yr!19sChIJkal39vfle0gRPMs56uIJjmI,53.7905019,-38.6878698,"Mon: 9 AM-5:15 PM? | Tue: 9 AM-5:15 PM? | Wed: 9 AM-5:15 PM? | Thu: 9 AM-5:15 PM? | Fri: 9 AM-1:20 PM, 1:45-5:15 PM? | Sat: 9 AM-5:15 PM? | Sun: 9 AM-5:15 PM?",,,,Google Maps
UK-BRA-005,Lazeez Halal Meat & Mini Market,Independent,100%,Halal Groceries & Butchers,296 Bowling Old Ln,Bradford,BD5 7BB,,UK,+44 1274 737111,,https://www.google.com/maps/place/Lazeez+Halal+Meat+%26+Mini+Market/data=!4m7!3m6!1s0x487be12d964935cd:0x8a10083c1e43197d!8m2!3d53.7770587!4d-1.7561129!16s%2Fg%2F1tfw2l88!19sChIJzTVJli3he0gRfRlDHjwIEIo,53.7905019,-38.6878698,Mon: 9 AM-10 PM? | Tue: 9 AM-10 PM? | Wed: 9 AM-10 PM? | Thu: 9 AM-10 PM? | Fri: 9 AM-10 PM? | Sat: 9 AM-10 PM? | Sun: 9 AM-6 PM?,,,,Google Maps
